<<<<<<< HEAD
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,temp,sign,day_of_week,horoscope,img_path,keyTerms,new_keyTerms_list,new_keyTerms
0,0,0,0,0.8411296776870001,Aries,Monday,"It might be more than one hundred problem. Whether it does suggest that a certain scenario probably has to do with unfunny, then you can occupy your head away that makes a calculated one that is incorrect or despondent without at least one other person. You might have assistance in a state of frustration and patience before putting others a bit more time to accept that you are not to impress someone else do. Soon, you will see how uncomfortable you re making it concern about.",imgs/img_0,certain scenario,"['accept', 'person', 'time']",accept
1,1,1,1,0.944679425492,Taurus,Monday,"How much do you want to be? Part of its ability to sort the saying these do n't always go on from certain people. Its also easy to make a right way in the world. We know what our hearts requires more than relevance to a situation. We eithelve a benefit to input in some way but its not uncommon getting off Piscean in your world will bring an imagination to change the taste of the proverbial item in the past. So said power, you'll see how daunting your reasons for success has altered.",imgs/img_1,certain people,"['reason', 'people']",reason
2,2,2,2,0.947067201227,Gemini,Monday,"Its important to asked that karmatic front on devices meeting a certain discussion- and say, when learning curves prepare for a line work. You re blessed with a certain person regarding a confusing situation but this particular question has missed. It could be easier to keep your mind out from utch or wish to accept it. Acknowledge an option that you re doing in at least one other way. You have reason to be lacking access to something bigger. Soon, you'll be more off than rely.",imgs/img_2, karmatic front,"['reason', 'accept', 'mind', 'person', 'way']",reason
3,3,3,3,0.879235840215,Cancer,Monday,"If you have felt passionate about your need to understand medicines to fitness at you, you may be wanting to start to go once things different to the job, out of nowhere and just wanting to be clearer or gradually sharp. Keep in up your space. You may want to complain quick fix. This can only be played until this service and put it between you, but some level of activity is therefore. A few home could be a little bit of fun. To make your home recently, work out weekend down.",imgs/img_3,fun,"['start', 'work', 'level']",start
4,4,4,4,0.931235446195,Leo,Monday,A certain person are less causing a someone that has yet to do without havines other cheeks about your nose to someone who maybe they do n't want to see and enjoy the drivers. Its possible you can create others to hear what needs sorting or permanent. There are so much you should be the one way or what you re prepared to give up at the eating one. Make it easy for too long ago. You know where you felt concerned about immension for. Let them do.,imgs/img_4,drivers,"['person', 'way']",person
5,5,5,5,0.840354518168,Virgo,Monday,"Before we can wish to climb the ways, these are often so much less restrictive of what we can do to improve what we want to hear. It is often easy enough to do it. There are times when we make the energy or deliberately in serious. We see something in the past. That s why its important to use concern or tension in some way and your patience later. You do be in. Someone thinks what your next move should be. A chance to shine now is the right attitude to make it happen. Its time to do so.",imgs/img_5, tension,"['think', 'way', 'chance']",think
6,6,6,6,0.821136499858,Libra,Monday,"We often feel inclined to give some initiative to achieve it. We also can see how something offers completion of some situations. There are times when we find ourselves looking for numerous grass, ideas are excited. You could be inclined to give effort and provide a solution in an area of your world than you realize. It insists you re adamant to trust your inability to do so.",imgs/img_6,ideas,"['offer', 'area', 'effort', 'world', 'time']",offer
7,7,7,7,0.928270383135,Scorpio,Monday,You could be inclined to regain control over a situation you need to improve the brave stepping stone to at least or daunting efforts and making unnecessarily complex attitude is n't as superfluous direction in both others are n't expecting. This could be ideal for a clock. You ve done all you can ough to go off and the company involves a decision is where either needs to be drawn from what you d think to see how certain essential and potentially insecurity you truly want to be.,imgs/img_7,control,"['think', 'control', 'effort']",think
8,8,8,8,0.929995152604,Sagittarius,Monday,"The sky is being supportive and imaginatively and required to make clear it is at schedule. You might be overreacting in a particular way or someone is more trusting how you can respond to getting certain information from certain quarters. The sky insists the clarity you took so need to instigate confidence at this time. All approaching your status is on offer, so relax. In any case, trip with a little while longer. An instilling amount of effort to recognize and response is what truly is hope.",imgs/img_8,quarters,"['effort', 'time', 'way']",effort
9,9,9,9,0.919775880857,Capricorn,Monday,"We know anything they ve discovered most or might there become used to us. Some people prefer favorite in some way. Where something is something someone has many choices, then its usually in some ways to consider what someone else ca n't do. To say nothing an issue now, have your first response from others who are n't within your ability to say them. Now, step back and allow your confidence to resolve it. Taking a risk is about to state your favorite present. Its very success to you.",imgs/img_9, favorite present,"['become', 'issue', 'people']",become
10,10,10,10,0.8724652830940001,Aquarius,Monday,"How adding your financial situation in a noticeable sense of control? Part of you presents itself. However, even if you want to be concerned about justice in the back of your mind, then it appears you have an opportunity to give some time to accept their potential stock of the proverbial backtrackier than it suits you. Regardless of how important or inspired you can be clear indication that a certain issue can be leaders of action coming from what you know to be a discussion now.",imgs/img_10,proverbial backtrackier,"['sense', 'issue', 'time']",sense
11,11,11,11,0.8356296250749999,Pisces,Monday,"There s a strong area of your world now or success conveying your confidence. It also indicates the cosmos appears to be essential to it differs from the cosmos to meet your point of view. That s probably the essential information, but it is becoming a generative result. The sky insists you can trust that you re not rushing to at least resent a negative attitude to your ability to remain cause for calm and changing it. There is a way you can gain more than simpler with others.",imgs/img_11,strong area,"['cause', 'trust', 'point', 'area', 'world', 'way']",cause
12,12,12,12,0.996730669039,Aries,Tuesday,"The Sun and Venus relating career that does nt mean to others. There may make use of it such time and even pushing away and hard to channel, try to look closely at what is going to come from dwelling the next morning it. But perhaps it will enable you to find giving energy in order to get going on being a bit challenging. This is the best of your friends, so still everything will shirk and have future terms in the past. Sift love and circulation clear you can feel. Push to tune in-recognitions.",imgs/img_12,such time,['time'],time
13,13,13,13,0.963213084278,Taurus,Tuesday,"Actors know how were determined to keep control depressing or finding a balance to any some people. We feel such who our career replacements of our lives when we banish before knowing where we are n't keen to avoid anyone, especially if were not referred to as much as it appears. It is unorthodox and logic is they re motivating manipulation.",imgs/img_13,control,"['control', 'life', 'people']",control
14,14,14,14,0.816453261028,Gemini,Tuesday,You can allocate the big tiece for a week it can help you to say that the stripe to do little give you a special sector of commitments. The chances are that this is seeking a lot of responsibilities to come and standing on many years ago that this may topplare outno-corroce of the game and balance itself will be resolute about you. You may consider the best in your level of cheerful things. Just do nt be feeling currently carrying about them. You can also benefit.,imgs/img_14,stripe,"['level', 'chance']",level
15,15,15,15,0.893894748146,Cancer,Tuesday,"If anyone is hard water in a range of power or claim, they can work on a relationships of certain issues. However, something is changing. It might be easily created and channeled delivers, especially if it serves too much the proverbial Pruse of a shaking drama. This is important now to be fuellivers, too. As much as you might be aware of this, expect a little while longer in some way.",imgs/img_15,drama,"['work', 'issue', 'way']",work
16,16,16,16,0.9667662326109999,Leo,Tuesday,"Nobody on paper has more time in which it seems unhelpful to continue, to make a point of listener. However, you re unlikely to regard anyone daunting. You might nite draw one step ahead. You are dealing with a listener and more reassurance that a need to take a conversation will soon relax and take a way forward and all heartfelt mental strak. An offer can cause us to take it in a much more impressive result. You can make a difference to others is no longer stressful.",imgs/img_16,more time,"['offer', 'time', 'way']",offer
17,17,17,17,0.98468939259,Virgo,Tuesday,"Try, it sapping is n't your willingness to keep repeating it will continue to be responsible. You have more effort in an area of your world now. You ve learned something in some way and be unable to ensure you re close to it as a reason to be reassured that, however, it is a wealthy conversation involving someone else than its unknown ) without involving others if truly worthwhile. Are you in a position to adjust a particular distraction?",imgs/img_17, world,"['area', 'reason', 'effort', 'world', 'way']",area
18,18,18,18,0.887054188061,Libra,Tuesday,You can probably believe from a certain person in the same way some people are more integral to the same. You have an opportunity to consider something about yours and the fact that you are seeing results can have a certain point you re doing. Try to resist an idea that should have been the cause of imagination and reasons that you re able to embark upon the method of answers that has overrided your ability to see how different others will be taken. The reminder of a situation needs to be enough.,imgs/img_18, same way,"['reason', 'person', 'people', 'way']",reason
19,19,19,19,0.98009306298,Scorpio,Tuesday,"This can be a good thing. Perhaps you ll want it to feed yourself more than you can find it safe how you apply the day, you may not explain yourself that it may prove more sentation to you. At the same time now, the direction is about looking at you. It might really help you to grab your heels and will have their own agendas and social custba process. From now on occasions, you have an opportunity to be more patient or suspicious. That means you can hear the ride, much to attain the grain.",imgs/img_19,own agendas,"['mean', 'process', 'time']",mean
20,20,20,20,0.8272230968850001,Sagittarius,Tuesday,"Some people believe the salesperson would have learned and uncomfortable for a good story. In some way, you are aware of how likely something should be and this involves calm, honest and influence that is likely to go awry. You re able to stop and see what happens if you chose to be a small action on your part. Perhaps its time to assess why enough is enough anything given easier. This might emerge right now and it will be accommodating. Resist any urge to surf a rigid boundary in your world now.",imgs/img_20,part,"['world', 'people', 'time', 'way']",world
21,21,21,21,0.8550740490809999,Capricorn,Tuesday,"When we feel we have expected, we do n't know right. We have no choice other than to allowed ourselves to be focused on certain talents or winners with clinging to something we start to pursue situations that others mean we intend to take action. Neither not something you can give compromise now. The boost to your past is real, are very clever. To gain many a change, you can likely see how a certain arrangement might be something you ve felt uncertain of it will react.",imgs/img_21, action,"['gain', 'arrangement', 'action']",gain
22,22,22,22,0.891524776145,Aquarius,Tuesday,"You may find yourself more productive and stronger. With Venus in Virgo have been worth puts you in the mood, or even a short opportunity to prepare someone you have alery, and receiving your batteries and shaking up little. You can be victificable. Then listen to your life and can soon rock first but ( where you may have found suggestions about how it has been going on behind seven many friendships. A source of fun makes this a chance to shake up. Smile, think for help.",imgs/img_22,virgo,"['life', 'chance']",life
23,23,23,23,0.868252860061,Pisces,Tuesday,"The Moon seems to make crystal you look forward with publicity doing so. If you do something in life more, you can find yourself with the powerful powerful sense of fun. You may have more connected to a cracking march to early stands and can shortly. There is no wonder what changes are sound and asking you to change it. However, it can prove to be one of the most enjoyable, respite, and the alter phases you. Make up all them is a dispute. You can sometimes allow new beginnings to do so.",imgs/img_23, publicity,"['look', 'life', 'sense']",look
24,24,24,24,0.9749228861470001,Aries,Wednesday,"Things continue to be told that instill he for a health competitive interest. Eclipse is gradually seen not to enjoy the hidden reasons you want to enjoy the device you have. Just how far you can really upbeat connotational epiphany. You know, who may have been a bit unjustified in knowledge. Get to the bottom for you, indicate negative ideas that will help. Tact rapers to love a lot of soul take time. Go! Be is as good a lover, is going to turn secret!",imgs/img_24,knowledge,"['reason', 'time']",reason
25,25,25,25,0.9540682088860001,Taurus,Wednesday,"Technology might be causing a need to make yourself at ease and consider a process you might had to achieve. That s something to begin as it might appear. That s indisputable, especially if we learned grasp outside the proverbial balls' of it. Where someone is now remaining in doing so may require more effort ago than they think. Do what you wish you were and much more seriously from what risks or possibly it is. That s what can be done their back. It might appear the game.",imgs/img_25,effort,"['think', 'effort']",think
26,26,26,26,0.8184474184810001,Gemini,Wednesday,"Consider less feelings over to you. Sometimes, that s where many one area cares creatures and discouragement are renestimed. The issue surrounds great program we discover if we realize how we have achieved something in a process that is difficult entirely to have mass achievements. Do n't get horrifying the return. If you take a risk now, you can see how best to convey ways it will. Trust that there is much you can do to confront it.",imgs/img_26,process,"['issue', 'way']",issue
27,27,27,27,0.901224282269,Cancer,Wednesday,"Are you the one doing so in a way you appear to see in a process that differs from what appears to be you? The answer appears you re in doing so but is you have faith in such this it, then a person become more than playing a ball approach before embarking upon a matter of principle. You re aware of what can only be made of you can make itself appreciation and respect for what you know to be sensible.",imgs/img_27,ball approach,"['become', 'person', 'way']",become
28,28,28,28,0.947847189079,Leo,Wednesday,"How are you to focus intently on what you want, then do n't focus too intently on what you can make happen, either. What you re feeling needs to be acknowledged or painfully slightly in need of a discountrate or half the most potential first-hand or not having something to say or assist. As long as you re precisely what s happening is important, then you can expect to see eye to physical review your actions. Do n't believe you truly respond. You can trust it will be revealed.",imgs/img_28, actions,['action'],action
